,User,Date,Count
741,rajacsp,2021-03-27,1
742,rajacsp,2021-03-28,4
743,rajacsp,2021-03-29,1
744,rajacsp,2021-03-30,4
745,rajacsp,2021-03-31,2
746,rajacsp,2021-04-01,1
747,rajacsp,2021-04-02,7
748,rajacsp,2021-04-03,4
749,rajacsp,2021-04-04,2
750,rajacsp,2021-04-05,3
751,rajacsp,2021-04-06,6
752,rajacsp,2021-04-08,1
753,rajacsp,2021-04-09,1
754,rajacsp,2021-04-12,1
755,rajacsp,2021-04-16,6
756,rajacsp,2021-04-18,3
757,rajacsp,2021-04-19,2
758,rajacsp,2021-04-24,1
759,rajacsp,2021-04-25,6
760,rajacsp,2021-04-26,2
761,rajacsp,2021-04-27,2
762,rajacsp,2021-04-30,1
763,rajacsp,2021-05-01,1
764,rajacsp,2021-05-02,1
765,rajacsp,2021-05-03,3
766,rajacsp,2021-05-04,2
767,rajacsp,2021-05-05,3
768,rajacsp,2021-05-06,5
769,rajacsp,2021-05-08,4
770,rajacsp,2021-05-09,1
771,rajacsp,2021-05-10,1
772,rajacsp,2021-05-12,1
773,rajacsp,2021-05-13,1
774,rajacsp,2021-05-14,1
775,rajacsp,2021-05-15,1
776,rajacsp,2021-05-17,5
777,rajacsp,2021-05-18,2
778,rajacsp,2021-05-21,2
779,rajacsp,2021-05-22,1
780,rajacsp,2021-05-24,3
781,rajacsp,2021-05-25,6
782,rajacsp,2021-06-01,2
783,rajacsp,2021-06-10,2
784,rajacsp,2021-06-13,4
785,rajacsp,2021-06-15,2
786,rajacsp,2021-06-16,2
787,rajacsp,2021-06-20,3
788,rajacsp,2021-06-26,1
789,rajacsp,2021-06-27,2
790,rajacsp,2021-06-28,1
791,rajacsp,2021-07-18,1
792,rajacsp,2021-07-19,6
